areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-07-07,564,476736
overview,United Kingdom,K02000001,2021-07-06,566,476172
overview,United Kingdom,K02000001,2021-07-05,514,475606
overview,United Kingdom,K02000001,2021-07-04,459,475092
overview,United Kingdom,K02000001,2021-07-03,387,474633
overview,United Kingdom,K02000001,2021-07-02,382,474246
overview,United Kingdom,K02000001,2021-07-01,364,473864
overview,United Kingdom,K02000001,2021-06-30,413,473500
overview,United Kingdom,K02000001,2021-06-29,360,473087
overview,United Kingdom,K02000001,2021-06-28,307,472727
overview,United Kingdom,K02000001,2021-06-27,262,472420
overview,United Kingdom,K02000001,2021-06-26,266,472158
overview,United Kingdom,K02000001,2021-06-25,250,471892
overview,United Kingdom,K02000001,2021-06-24,248,471642
overview,United Kingdom,K02000001,2021-06-23,274,471394
overview,United Kingdom,K02000001,2021-06-22,238,471120
overview,United Kingdom,K02000001,2021-06-21,227,470882
overview,United Kingdom,K02000001,2021-06-20,206,470655
overview,United Kingdom,K02000001,2021-06-19,211,470449
overview,United Kingdom,K02000001,2021-06-18,234,470238
overview,United Kingdom,K02000001,2021-06-17,241,470004
overview,United Kingdom,K02000001,2021-06-16,227,469763
overview,United Kingdom,K02000001,2021-06-15,227,469536
overview,United Kingdom,K02000001,2021-06-14,225,469309
overview,United Kingdom,K02000001,2021-06-13,223,469084
overview,United Kingdom,K02000001,2021-06-12,178,468861
overview,United Kingdom,K02000001,2021-06-11,177,468683
overview,United Kingdom,K02000001,2021-06-10,200,468506
overview,United Kingdom,K02000001,2021-06-09,188,468306
overview,United Kingdom,K02000001,2021-06-08,189,468118
overview,United Kingdom,K02000001,2021-06-07,174,467929
overview,United Kingdom,K02000001,2021-06-06,153,467755
overview,United Kingdom,K02000001,2021-06-05,124,467602
overview,United Kingdom,K02000001,2021-06-04,124,467478
overview,United Kingdom,K02000001,2021-06-03,123,467354
overview,United Kingdom,K02000001,2021-06-02,127,467231
overview,United Kingdom,K02000001,2021-06-01,155,467104
overview,United Kingdom,K02000001,2021-05-31,123,466949
overview,United Kingdom,K02000001,2021-05-30,113,466826
overview,United Kingdom,K02000001,2021-05-29,103,466713
overview,United Kingdom,K02000001,2021-05-28,138,466610
overview,United Kingdom,K02000001,2021-05-27,125,466472
overview,United Kingdom,K02000001,2021-05-26,129,466347
overview,United Kingdom,K02000001,2021-05-25,132,466218
overview,United Kingdom,K02000001,2021-05-24,136,466086
overview,United Kingdom,K02000001,2021-05-23,114,465950
overview,United Kingdom,K02000001,2021-05-22,120,465836
overview,United Kingdom,K02000001,2021-05-21,120,465716
overview,United Kingdom,K02000001,2021-05-20,130,465596
overview,United Kingdom,K02000001,2021-05-19,125,465466
overview,United Kingdom,K02000001,2021-05-18,127,465341
overview,United Kingdom,K02000001,2021-05-17,101,465214
overview,United Kingdom,K02000001,2021-05-16,78,465113
overview,United Kingdom,K02000001,2021-05-15,90,465035
overview,United Kingdom,K02000001,2021-05-14,93,464945
overview,United Kingdom,K02000001,2021-05-13,104,464852
overview,United Kingdom,K02000001,2021-05-12,118,464748
overview,United Kingdom,K02000001,2021-05-11,107,464630
overview,United Kingdom,K02000001,2021-05-10,104,464523
overview,United Kingdom,K02000001,2021-05-09,102,464419
overview,United Kingdom,K02000001,2021-05-08,110,464317
overview,United Kingdom,K02000001,2021-05-07,103,464207
overview,United Kingdom,K02000001,2021-05-06,120,464104
overview,United Kingdom,K02000001,2021-05-05,118,463984
overview,United Kingdom,K02000001,2021-05-04,102,463866
overview,United Kingdom,K02000001,2021-05-03,123,463764
overview,United Kingdom,K02000001,2021-05-02,119,463641
overview,United Kingdom,K02000001,2021-05-01,100,463522
overview,United Kingdom,K02000001,2021-04-30,110,463422
overview,United Kingdom,K02000001,2021-04-29,101,463312
overview,United Kingdom,K02000001,2021-04-28,110,463211
overview,United Kingdom,K02000001,2021-04-27,166,463101
overview,United Kingdom,K02000001,2021-04-26,134,462935
overview,United Kingdom,K02000001,2021-04-25,138,462801
overview,United Kingdom,K02000001,2021-04-24,129,462663
overview,United Kingdom,K02000001,2021-04-23,155,462534
overview,United Kingdom,K02000001,2021-04-22,120,462379
overview,United Kingdom,K02000001,2021-04-21,171,462259
overview,United Kingdom,K02000001,2021-04-20,134,462088
overview,United Kingdom,K02000001,2021-04-19,177,461954
overview,United Kingdom,K02000001,2021-04-18,141,461777
overview,United Kingdom,K02000001,2021-04-17,158,461636
overview,United Kingdom,K02000001,2021-04-16,157,461478
overview,United Kingdom,K02000001,2021-04-15,161,461321
overview,United Kingdom,K02000001,2021-04-14,196,461160
overview,United Kingdom,K02000001,2021-04-13,181,460964
overview,United Kingdom,K02000001,2021-04-12,205,460783
overview,United Kingdom,K02000001,2021-04-11,202,460578
overview,United Kingdom,K02000001,2021-04-10,184,460376
overview,United Kingdom,K02000001,2021-04-09,204,460192
overview,United Kingdom,K02000001,2021-04-08,207,459988
overview,United Kingdom,K02000001,2021-04-07,235,459781
overview,United Kingdom,K02000001,2021-04-06,223,459546
overview,United Kingdom,K02000001,2021-04-05,234,459323
overview,United Kingdom,K02000001,2021-04-04,196,459089
overview,United Kingdom,K02000001,2021-04-03,222,458893
overview,United Kingdom,K02000001,2021-04-02,237,458671
overview,United Kingdom,K02000001,2021-04-01,234,458434
overview,United Kingdom,K02000001,2021-03-31,269,458200
overview,United Kingdom,K02000001,2021-03-30,256,457931
overview,United Kingdom,K02000001,2021-03-29,250,457675
overview,United Kingdom,K02000001,2021-03-28,272,457425
overview,United Kingdom,K02000001,2021-03-27,271,457153
overview,United Kingdom,K02000001,2021-03-26,298,456882
overview,United Kingdom,K02000001,2021-03-25,338,456584
overview,United Kingdom,K02000001,2021-03-24,348,456246
overview,United Kingdom,K02000001,2021-03-23,366,455898
overview,United Kingdom,K02000001,2021-03-22,360,455532
overview,United Kingdom,K02000001,2021-03-21,357,455172
overview,United Kingdom,K02000001,2021-03-20,364,454815
overview,United Kingdom,K02000001,2021-03-19,381,454451
overview,United Kingdom,K02000001,2021-03-18,449,454070
overview,United Kingdom,K02000001,2021-03-17,446,453621
overview,United Kingdom,K02000001,2021-03-16,440,453175
overview,United Kingdom,K02000001,2021-03-15,500,452735
overview,United Kingdom,K02000001,2021-03-14,425,452235
overview,United Kingdom,K02000001,2021-03-13,461,451810
overview,United Kingdom,K02000001,2021-03-12,480,451349
overview,United Kingdom,K02000001,2021-03-11,550,450869
overview,United Kingdom,K02000001,2021-03-10,567,450319
overview,United Kingdom,K02000001,2021-03-09,579,449752
overview,United Kingdom,K02000001,2021-03-08,577,449173
overview,United Kingdom,K02000001,2021-03-07,535,448596
overview,United Kingdom,K02000001,2021-03-06,637,448061
overview,United Kingdom,K02000001,2021-03-05,599,447424
overview,United Kingdom,K02000001,2021-03-04,704,446825
overview,United Kingdom,K02000001,2021-03-03,713,446121
overview,United Kingdom,K02000001,2021-03-02,834,445408
overview,United Kingdom,K02000001,2021-03-01,821,444574
overview,United Kingdom,K02000001,2021-02-28,769,443753
overview,United Kingdom,K02000001,2021-02-27,741,442984
overview,United Kingdom,K02000001,2021-02-26,863,442243
overview,United Kingdom,K02000001,2021-02-25,968,441380
overview,United Kingdom,K02000001,2021-02-24,1020,440412
overview,United Kingdom,K02000001,2021-02-23,1119,439392
overview,United Kingdom,K02000001,2021-02-22,1119,438273
overview,United Kingdom,K02000001,2021-02-21,1155,437154
overview,United Kingdom,K02000001,2021-02-20,1087,435999
overview,United Kingdom,K02000001,2021-02-19,1271,434912
overview,United Kingdom,K02000001,2021-02-18,1336,433641
overview,United Kingdom,K02000001,2021-02-17,1409,432305
overview,United Kingdom,K02000001,2021-02-16,1492,430896
overview,United Kingdom,K02000001,2021-02-15,1501,429404
overview,United Kingdom,K02000001,2021-02-14,1534,427903
overview,United Kingdom,K02000001,2021-02-13,1426,426369
overview,United Kingdom,K02000001,2021-02-12,1507,424943
overview,United Kingdom,K02000001,2021-02-11,1678,423436
overview,United Kingdom,K02000001,2021-02-10,1725,421758
overview,United Kingdom,K02000001,2021-02-09,1754,420033
overview,United Kingdom,K02000001,2021-02-08,1920,418279
overview,United Kingdom,K02000001,2021-02-07,1847,416359
overview,United Kingdom,K02000001,2021-02-06,1891,414512
overview,United Kingdom,K02000001,2021-02-05,2005,412621
overview,United Kingdom,K02000001,2021-02-04,2142,410616
