areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-11-15,12533,9637190
overview,United Kingdom,K02000001,2021-11-14,31395,9624657
overview,United Kingdom,K02000001,2021-11-13,30335,9593262
overview,United Kingdom,K02000001,2021-11-12,36406,9562927
overview,United Kingdom,K02000001,2021-11-11,39672,9526521
overview,United Kingdom,K02000001,2021-11-10,41697,9486849
overview,United Kingdom,K02000001,2021-11-09,41234,9445152
overview,United Kingdom,K02000001,2021-11-08,43153,9403918
overview,United Kingdom,K02000001,2021-11-07,29927,9360765
overview,United Kingdom,K02000001,2021-11-06,26856,9330838
overview,United Kingdom,K02000001,2021-11-05,29671,9303982
overview,United Kingdom,K02000001,2021-11-04,32280,9274311
overview,United Kingdom,K02000001,2021-11-03,34990,9242031
overview,United Kingdom,K02000001,2021-11-02,37077,9207041
overview,United Kingdom,K02000001,2021-11-01,44121,9169964
overview,United Kingdom,K02000001,2021-10-31,34034,9125843
overview,United Kingdom,K02000001,2021-10-30,32934,9091809
overview,United Kingdom,K02000001,2021-10-29,39487,9058875
overview,United Kingdom,K02000001,2021-10-28,40584,9019388
overview,United Kingdom,K02000001,2021-10-27,42210,8978804
overview,United Kingdom,K02000001,2021-10-26,41356,8936594
overview,United Kingdom,K02000001,2021-10-25,46582,8895238
overview,United Kingdom,K02000001,2021-10-24,35100,8848656
overview,United Kingdom,K02000001,2021-10-23,34501,8813556
overview,United Kingdom,K02000001,2021-10-22,39941,8779055
overview,United Kingdom,K02000001,2021-10-21,44374,8739114
overview,United Kingdom,K02000001,2021-10-20,50795,8694740
overview,United Kingdom,K02000001,2021-10-19,51553,8643945
overview,United Kingdom,K02000001,2021-10-18,56691,8592392
overview,United Kingdom,K02000001,2021-10-17,42980,8535701
overview,United Kingdom,K02000001,2021-10-16,37265,8492721
overview,United Kingdom,K02000001,2021-10-15,42862,8455456
overview,United Kingdom,K02000001,2021-10-14,45630,8412594
